Company,Predicted SDG Component,Percentage Prediction,Keywords
Clientele,GOAL 3: Good Health and Well-being,39.7%,"wellness, hygiene, treatment"
Investec Property Fund,GOAL 8: Decent Work and Economic Growth,69.6%,
Ninety One,GOAL 13: Climate Action,49.6%,policy
Primeserv,GOAL 12: Responsible Consumption and Production,53.3%,sustainable
Castleview,GOAL 11: Sustainable Cities and Communities,15.4%,
Purple Group,GOAL 12: Responsible Consumption and Production,98.2%,
Brait,"GOAL 9: Industry, Innovation and Infrastructure",48.5%,research
Investec,GOAL 8: Decent Work and Economic Growth,44.4%,"enterprise, employment"
Discovery,GOAL 11: Sustainable Cities and Communities,15.4%,
Capital Appreciation,GOAL 12: Responsible Consumption and Production,88.7%,sustainable
Schroders,"GOAL 16: Peace, Justice and Strong Institutions",99.2%,"law, corruption, governance"
Vunani,GOAL 5: Gender Equality,25.0%,rights
Sasfin,"GOAL 16: Peace, Justice and Strong Institutions",97.5%,governance
Nedbank,GOAL 11: Sustainable Cities and Communities,15.4%,
Astoria-,GOAL 8: Decent Work and Economic Growth,59.4%,
PSG,GOAL 8: Decent Work and Economic Growth,68.8%,
Capricorn Group,GOAL 7: Affordable and Clean Energy,65.0%,"sustainable, renewable"
Standard Bank,GOAL 12: Responsible Consumption and Production,83.9%,sustainable
Namibia Asset Management,GOAL 8: Decent Work and Economic Growth,81.8%,
Universal Partners,"GOAL 16: Peace, Justice and Strong Institutions",97.6%,governance
ARC-,GOAL 12: Responsible Consumption and Production,96.4%,efficiency
Mahube,GOAL 12: Responsible Consumption and Production,90.3%,
Santam,"GOAL 9: Industry, Innovation and Infrastructure",61.7%,
Remgro,GOAL 12: Responsible Consumption and Production,94.1%,
Sanlam,GOAL 13: Climate Action,98.5%,"emissions, resilience, mitigation, adaptation, policy"
Zeder,GOAL 12: Responsible Consumption and Production,35.6%,
Capitec Bank,GOAL 8: Decent Work and Economic Growth,78.6%,
Old Mutual,GOAL 12: Responsible Consumption and Production,81.0%,sustainable
Momentum Metropolitan,GOAL 11: Sustainable Cities and Communities,15.4%,
ABSA,GOAL 8: Decent Work and Economic Growth,48.9%,
Alex Forbes,GOAL 11: Sustainable Cities and Communities,15.4%,
